Product Id,Sector,Cog,Distance,Export,Pci
1385,Textiles_and_furniture,-0.1514,0.8794,5157780498,-2.0676
1384,Textiles_and_furniture,-0.125,0.871,427991023,-1.3449
1383,Textiles_and_furniture,0.0301,0.9151,469675,-0.1832
1382,Textiles_and_furniture,-0.1586,0.8632,30269662,-1.5814
1381,Textiles_and_furniture,0.0407,0.8729,54528764,-0.5107
1380,Textiles_and_furniture,-0.1789,0.8321,7676792057,-0.7247
1379,Textiles_and_furniture,-0.1799,0.8296,3906371451,-0.841
1378,Textiles_and_furniture,-0.1069,0.8766,35433526868,-1.3401
1377,Textiles_and_furniture,-0.2347,0.8269,51619409670,-1.1232
1376,Textiles_and_furniture,-0.1573,0.8581,35490891347,-1.2198
1374,Textiles_and_furniture,-0.2236,0.8253,663970757,-1.0149
1372,Textiles_and_furniture,-0.0068,0.8468,92338011,-0.0783
1371,Textiles_and_furniture,-0.1909,0.8396,13496731909,-1.0843
1368,Textiles_and_furniture,-0.1599,0.8389,4029045008,-0.9429
1367,Textiles_and_furniture,-0.1129,0.8488,4500982113,-0.5985
1366,Textiles_and_furniture,-0.2563,0.8354,19365290319,-1.6334
1364,Textiles_and_furniture,-0.1388,0.8322,2489993539,-0.9595
1363,Textiles_and_furniture,-0.1571,0.8528,1034436170,-1.3966
1362,Textiles_and_furniture,0.1237,0.8868,789530653,-0.2602
1361,Textiles_and_furniture,0.02,0.8736,4545624797,-0.6542
1360,Textiles_and_furniture,-0.1247,0.8667,256253753,-1.3635
1359,Textiles_and_furniture,-0.2237,0.8168,11732092487,-1.1743
1358,Textiles_and_furniture,-0.31,0.8063,11418699519,-1.2905
1357,Textiles_and_furniture,-0.1621,0.8427,9919028155,-1.0145
1356,Textiles_and_furniture,-0.287,0.8266,2552742906,-1.2541
1355,Textiles_and_furniture,-0.3547,0.8162,2243621362,-1.6263
1354,Textiles_and_furniture,-0.3339,0.8133,1366363546,-1.4266
1353,Textiles_and_furniture,-0.2871,0.8213,14358321208,-1.1721
1352,Textiles_and_furniture,-0.3101,0.82,14839357672,-1.3448
1351,Textiles_and_furniture,-0.3089,0.8116,58675737435,-1.2876
1350,Textiles_and_furniture,-0.3063,0.8047,45667490797,-1.2947
1349,Textiles_and_furniture,-0.1918,0.8393,17766390764,-1.0022
1348,Textiles_and_furniture,-0.2537,0.8354,13750068156,-1.2474
1347,Textiles_and_furniture,-0.1732,0.8463,2983659238,-1.2134
1346,Textiles_and_furniture,-0.0766,0.8724,4230715603,-0.9485
1345,Textiles_and_furniture,-0.1938,0.8225,12253062513,-0.8482
1344,Textiles_and_furniture,-0.299,0.8079,6832875070,-1.3024
1343,Textiles_and_furniture,-0.1646,0.8332,1021713644,-0.9799
1342,Textiles_and_furniture,-0.2225,0.8332,4572431855,-0.9752
1341,Textiles_and_furniture,-0.3529,0.8199,7228941833,-1.7378
1340,Textiles_and_furniture,-0.3165,0.8104,50461322470,-1.3812
1339,Textiles_and_furniture,-0.3438,0.8025,40940573311,-1.5254
1338,Textiles_and_furniture,-0.299,0.8158,12090291781,-1.4035
1337,Textiles_and_furniture,-0.303,0.8096,6871587143,-1.3306
1336,Textiles_and_furniture,-0.3339,0.8026,4895676012,-1.4068
1335,Textiles_and_furniture,-0.3679,0.797,7946889985,-1.6959
1334,Textiles_and_furniture,-0.3613,0.8033,31807762400,-1.579
1333,Textiles_and_furniture,-0.3664,0.8033,11346819991,-1.6806
1332,Textiles_and_furniture,-0.3292,0.8024,3483603965,-1.5581
1331,Textiles_and_furniture,-0.3107,0.8059,2725316196,-1.3776
1330,Textiles_and_furniture,-0.1317,0.8475,26873801817,-1.023
1329,Textiles_and_furniture,-0.0136,0.864,3980251173,-0.6549
1328,Textiles_and_furniture,0.4139,0.8732,4814111551,1.2724
1327,Textiles_and_furniture,0.4442,0.892,516509171,1.3009
1326,Textiles_and_furniture,0.3696,0.8885,345676087,0.9263
1325,Textiles_and_furniture,0.0894,0.8586,42240784,-0.2327
1324,Textiles_and_furniture,0.3491,0.8901,737329590,0.8107
1323,Textiles_and_furniture,0.2957,0.8836,1401116156,0.7548
1322,Textiles_and_furniture,0.3478,0.8727,114740074,0.9791
1321,Textiles_and_furniture,0.3057,0.8806,319180304,0.4942
1320,Textiles_and_furniture,0.286,0.8881,11276164764,0.5811
1319,Textiles_and_furniture,0.063,0.8776,2559057012,0.1344
1318,Textiles_and_furniture,0.0399,0.8757,470507394,-0.6657
1317,Textiles_and_furniture,0.0042,0.8394,297413372,-0.0146
1316,Textiles_and_furniture,-0.1342,0.8539,1644996873,-0.7764
1314,Textiles_and_furniture,-0.1376,0.8508,489945329,-1.1065
1313,Textiles_and_furniture,-0.0851,0.8464,1238138173,-0.6286
1312,Textiles_and_furniture,-0.0514,0.8448,3761907735,-0.3299
1311,Textiles_and_furniture,-0.1778,0.8194,34399029,-1.2189
1310,Textiles_and_furniture,-0.1289,0.8544,1810369634,-1.0724
1309,Textiles_and_furniture,0.0764,0.8813,80855486,-0.2918
1308,Textiles_and_furniture,-0.1399,0.8295,165638776,-1.0275
1307,Textiles_and_furniture,0.1656,0.8864,2103520345,0.2796
1306,Textiles_and_furniture,-0.069,0.846,1353208658,-0.739
1305,Textiles_and_furniture,0.3072,0.8752,627901217,0.7485
1304,Textiles_and_furniture,0.1351,0.8563,6722340929,0.3484
1303,Textiles_and_furniture,-0.1358,0.8362,4400225722,-0.8145
1302,Textiles_and_furniture,-0.1397,0.8381,1135179383,-1.1194
1301,Textiles_and_furniture,-0.1386,0.8238,518846240,-0.5139
1300,Textiles_and_furniture,-0.1953,0.8196,1728381878,-0.6438
1298,Textiles_and_furniture,0.144,0.8661,480475876,0.3724
1297,Textiles_and_furniture,0.2586,0.8911,228429302,0.5004
1296,Textiles_and_furniture,0.2372,0.8865,510215529,0.5313
1295,Textiles_and_furniture,0.3375,0.8739,13510636500,0.9367
1294,Textiles_and_furniture,0.1862,0.8545,1119295907,0.3951
1293,Textiles_and_furniture,0.0487,0.8351,2156190496,-0.186
1292,Textiles_and_furniture,-0.0908,0.8671,3991630649,-0.7931
1291,Textiles_and_furniture,-0.0182,0.8668,4117506644,-0.5282
1289,Textiles_and_furniture,-0.1387,0.8469,2779831260,-1.362
1287,Textiles_and_furniture,-0.1577,0.8468,388075283,-0.9988
1286,Textiles_and_furniture,-0.0824,0.8579,1665059757,-0.4397
1285,Textiles_and_furniture,-0.1727,0.8358,5368403364,-0.7069
1283,Textiles_and_furniture,0.3267,0.9025,35734099,1.1279
1282,Textiles_and_furniture,0.2294,0.8711,301608906,0.161
1281,Textiles_and_furniture,-0.1012,0.8151,210837644,-0.7289
1280,Textiles_and_furniture,0.1038,0.8947,2691109636,0.0657
1279,Textiles_and_furniture,0.0908,0.8604,6466215495,0.1674
1278,Textiles_and_furniture,0.4617,0.9257,2025867186,2.0564
1277,Textiles_and_furniture,0.0984,0.8688,1097812431,-0.1755
1276,Textiles_and_furniture,0.2786,0.8876,1418174093,0.5981
1275,Textiles_and_furniture,0.0096,0.8661,22213300321,-0.6047
1274,Textiles_and_furniture,0.1272,0.8785,81466596,-0.6756
1273,Textiles_and_furniture,0.2435,0.8934,32435829,0.7693
1272,Textiles_and_furniture,0.1845,0.8655,1349967280,0.1593
1271,Textiles_and_furniture,0.2305,0.8802,1199090687,0.1028
1270,Textiles_and_furniture,0.1154,0.8613,15888530795,0.3591
1269,Textiles_and_furniture,0.0217,0.8377,1192605647,-0.3232
1268,Textiles_and_furniture,-0.1045,0.8825,240963908,-1.1546
1266,Textiles_and_furniture,0.1453,0.8847,1041948455,0.393
1265,Textiles_and_furniture,-0.216,0.827,98305559,-1.3655
1264,Textiles_and_furniture,-0.0397,0.8694,494478575,-2.1195
1263,Textiles_and_furniture,0.0945,0.8704,410766876,-0.0326
1262,Textiles_and_furniture,-0.2975,0.8266,555802231,-2.1309
1261,Textiles_and_furniture,-0.1329,0.7892,6504089,-2.4307
1260,Textiles_and_furniture,-0.2096,0.7616,246528216,-3.2189
1259,Textiles_and_furniture,-0.0016,0.841,14118921,-0.8984
1258,Textiles_and_furniture,0.0712,0.8678,696327707,0.2714
1257,Textiles_and_furniture,-0.0684,0.8568,755368452,-0.5314
1256,Textiles_and_furniture,-0.1683,0.8409,3441863545,-1.0042
1255,Textiles_and_furniture,-0.0136,0.8682,2313065674,-0.3185
