distance,export_rca,export_value,import_value,location_id,id,year
0.6643,14.5803,224785040,4819651,239,1358,2001
0.6695,14.5682,1364604928,141396272,239,799,2014
0.6495,14.551,13388080,227187,239,1183,2001
0.7584,14.5239,123528,0,239,770,1995
0.7062,14.48,10085438,127103,239,1360,2005
0.7003,14.4749,89830200,963824,239,1422,2005
0.6727,14.4726,187636576,162494000,239,1251,2013
0.7819,14.431,1411126272,2178429,239,1158,2015
0.7692,14.4293,1666792,19797,239,1384,1995
0.5816,14.4128,33582108,50367,239,1262,2011
0.6922,14.4021,73720816,1626074,239,1422,2002
0.7874,14.3916,5094876,458730,239,1162,2008
0.7445,14.3636,736716480,959444,239,1377,1999
0.791,14.2973,75870840,13978080,239,1429,2006
0.6502,14.2939,18046172,2001907,239,1183,2003
0.6038,14.2823,418436224,142071264,239,711,2014
0.6554,14.26,1632644736,7634060,239,1376,2009
0.7555,14.2188,13813857,4840294,239,1317,2006
0.6449,14.1891,770886464,136967280,239,799,2011
0.6501,14.1499,5053986,16286,239,731,2003
0.6984,14.104,1266417664,1684888,239,1377,2002
0.6781,14.0931,466213408,18871904,239,799,2009
0.7083,14.0855,19747796,7219747,239,1300,2001
0.5881,14.0734,31717636,1143577,239,731,2012
0.6358,14.0584,1235412,0,239,755,2001
0.7786,14.0363,11915354,10165988,239,687,1998
0.6435,14.0265,1577392640,323481952,239,671,2011
0.6842,14.0098,2157785,6361,239,1262,1999
0.6874,13.9976,259122560,56799740,239,1251,2016
0.7527,13.9553,401962688,40087984,239,1319,2015
0.7033,13.8988,7449811,1088235,239,1183,1999
0.7086,13.8668,43189212,8661793,239,1229,2015
0.6851,13.8446,3098486016,14841733,239,1377,2009
0.7869,13.8301,84270992,271293,239,721,2000
0.7442,13.8007,1764880,667396,239,1867,1997
0.6841,13.7916,346749440,13311236,239,799,2007
0.7132,13.784,1791609,651802,239,812,2004
0.6438,13.7811,15012060,536243,239,1183,2002
0.7148,13.7325,44869004,24691044,239,1300,2006
0.6386,13.7159,1918768256,9118886,239,1376,2010
0.7352,13.6741,111487896,976734,239,721,2002
0.6839,13.6594,345760032,2071533,239,1348,2005
0.6712,13.6481,3392933632,17126284,239,1377,2010
0.7639,13.6353,14589576,11351848,239,1147,2011
0.7492,13.627,125224240,1858894,239,1049,2007
0.7014,13.5999,10928166,344158,239,1183,2000
0.734,13.5631,1953173,386275,239,812,2006
0.6953,13.5497,344186368,27247872,239,672,2006
0.7713,13.5331,6513158,1295751,239,1123,2004
0.6792,13.5233,400269248,2228070,239,1348,2006
0.6933,13.5213,30363992,12933396,239,1300,2004
0.7399,13.4995,181061,0,239,770,1998
0.7122,13.4696,6265231,4995354,239,690,2006
0.6954,13.4363,2691780096,39133260,239,741,2013
0.7073,13.4297,37528556,7009577,239,763,2000
0.7945,13.4247,50544680,284754,239,799,1996
0.6796,13.4219,256131808,12854192,239,672,2004
0.7467,13.3942,5129615,6127660,239,897,2003
0.6843,13.3917,5814667,628943,239,812,2012
0.7419,13.389,1836391,1052207,239,1867,1999
0.6665,13.3881,5781434,258723,239,1265,2001
0.5865,13.3848,7077550,3068,239,755,2013
0.7335,13.3455,265197872,55947088,239,1795,2011
0.6148,13.3413,204570592,10262013,239,1332,2010
0.629,13.3068,186729888,3576748,239,1332,2009
0.7032,13.295,37658624,5917481,239,1251,2006
0.8023,13.2914,6812172,106426,239,1780,2005
0.7743,13.2755,63604464,263242,239,799,1997
0.7399,13.2662,180496896,1349723,239,1049,2010
0.722,13.2458,31520344,324503,239,754,2001
0.7761,13.2248,2115685,180120,239,897,1995
0.736,13.1872,6899006,23369,239,734,2000
0.7725,13.1855,59877264,6264600,239,751,2004
0.5981,13.1813,366970880,87266416,239,1120,2004
0.7041,13.1801,91592392,3977775,239,1423,2010
0.7677,13.1482,82130576,782960,239,799,1999
0.6892,13.1162,19375732,30060174,239,1391,2014
0.7053,13.1123,7322642,211426,239,897,2008
0.6371,13.1027,170214384,155688,239,1332,2008
0.658,13.1,985166528,183753408,239,799,2013
0.7102,13.0973,3521342,8985266,239,1157,2008
0.7732,13.0969,8248235,320903,239,708,1996
0.7541,13.0739,12274876,30070,239,1176,1999
0.6846,13.0723,443887712,5209818,239,1348,2007
0.6619,13.0572,3011078400,49617136,239,726,2013
